group,topic,title,authors,arxiv_url,code_url,project_url,doi
Generation & Editing,Image Generation & Diffusion Models,Beyond the Black Box: Identifiable Interpretation and Control in Generative Models via Causal Minimality,Lingjing Kong ⋅ Shaoan Xie ⋅ Guangyi Chen ⋅ Yuewen Sun ⋅ Xiangchen Song ⋅ Kun Zhang,https://arxiv.org/abs/2512.10720,,,
Generation & Editing,Image Generation & Diffusion Models,CARA: Collision-Aware Resolution Adaptation for Multiresolution Hash Encoding Based Image Fitting,Linfeng Ye ⋅ Zhixiang Chi ⋅ Shayan Mohajer Hamidi ⋅ En-Hui Yang ⋅ Konstantinos Plataniotis,,,,
Generation & Editing,Image Generation & Diffusion Models,CAST3D: Customizing Arbitrary 2D Assets into 3D World,Yukai Sun ⋅ Hao Qin ⋅ Ming Kong ⋅ Luyuan Chen ⋅ Zhijie Xu ⋅ Jinjian Zhang ⋅ Jie Liu ⋅ Feng Zhang ⋅ Qiang Zhu,,,,
Generation & Editing,Image Generation & Diffusion Models,CMuon: Accelerating and Stabilizing Diffusion Transformer Training via Chunked Momentum Orthogonalization,Chuyan Chen ⋅ Peng Sun ⋅ Kun Yuan,https://arxiv.org/abs/2608.02502,,,
Generation & Editing,Image Generation & Diffusion Models,Co-evolving Representations in Joint Image-Feature Diffusion,Theodoros Kouzelis ⋅ Spyros Gidaris ⋅ Nikos Komodakis,,,,
Generation & Editing,Image Generation & Diffusion Models,CollectionLoRA: Collecting 50 Effects in 1 LoRA for Deployment,Fangtai Wu ⋅ Hailong Guo ⋅ Shijie Huang ⋅ Jiayi Song ⋅ Yubo Huang ⋅ Mushui Liu ⋅ Zhao Wang ⋅ Yunlong Yu ⋅ Jiaming Liu ⋅ Ruihua Huang,,,,
Generation & Editing,Image Generation & Diffusion Models,ColorFM: An Optimization-to-Learning Framework for Color Transfer via Flow Matching,Yuhang He ⋅ Kai Zhang ⋅ Xiaoming Li ⋅ Du Chen ⋅ Jian Yang,https://arxiv.org/abs/2607.07119,,,
Generation & Editing,Image Generation & Diffusion Models,ConceptWeaver: Weaving Disentangled Concepts with Flow,Jintao Chen ⋅ Aiming Hao ⋅ Xiaoqing Chen ⋅ Chengyu Bai ⋅ Chubin Chen ⋅ Yanxun Li ⋅ Jiahong Wu ⋅ Xiangxiang Chu ⋅ Shanghang Zhang,https://arxiv.org/abs/2603.28493,,,
Generation & Editing,Image Generation & Diffusion Models,Cross-Resolution Distribution Matching for Diffusion Distillation,Chen Feiyang ⋅ Hongpeng Pan ⋅ Haonan Xu ⋅ Xinyu Duan ⋅ Zhefeng Wang ⋅ Yang Yang,https://arxiv.org/abs/2603.06136,,,
Generation & Editing,Image Generation & Diffusion Models,Cross-Space Distillation: Teaching One-Step Students with Modern Diffusion Teachers,Anh Nguyen ⋅ Ngan Nguyen ⋅ Hong Duc Vu ⋅ Trung Dao ⋅ Viet Nguyen ⋅ Minh Quan Dao ⋅ Kien Nguyen ⋅ Tran Bao Chi Tran ⋅ Phong Nguyen ⋅ Khoi Nguyen ⋅ Cuong Pham ⋅ Dimitris N. Metaxas ⋅ Vishal Patel ⋅ Anh Tran,https://arxiv.org/abs/2606.32020,,,
Generation & Editing,Image Generation & Diffusion Models,Ctrl-Z Sampling: Scaling Diffusion Sampling with Controlled Random Zigzag Explorations,Shunqi Mao ⋅ Wei Guo ⋅ Chaoyi Zhang ⋅ Jieting Long ⋅ Ke Xie ⋅ Weidong Cai,https://arxiv.org/abs/2506.20294,https://github.com/ShunqiM/Ctrl-Z-Sampling,,
Generation & Editing,Image Generation & Diffusion Models,Curvature-Adaptive Consistency Flow Matching: Autonomous Trajectory Optimization via Reinforcement Learning,Songtao Tian ⋅ Guhan Chen ⋅ Bohan Li ⋅ Jingyi Ma ⋅ Zixiong Yu,https://arxiv.org/abs/2606.22394,,,
Generation & Editing,Image Generation & Diffusion Models,D2PO: Optimizing Diffusion Samplers via Dynamic Preference,Jinkyu Kim ⋅ Jinyoung Choi ⋅ Bohyung Han,https://arxiv.org/abs/2607.06609,,,
Generation & Editing,Image Generation & Diffusion Models,DAPS++: Rethinking Diffusion Inverse Problems with Decoupled Posterior Annealing,Hao Chen ⋅ Renzheng Zhang ⋅ Scott Howard,https://arxiv.org/abs/2511.17038,,,
Generation & Editing,Image Generation & Diffusion Models,DARL: Efficient Document-to-Markup Generation via Look-Ahead Diffusion Trajectory Sampling,Wentao Yang ⋅ Yongxin Shi ⋅ Rui Tang ⋅ Peirong Zhang ⋅ Shihang Wu ⋅ Huiguo He ⋅ Zheng Huang ⋅ Dezhi Peng ⋅ Minghui Liao ⋅ Lianwen Jin,,,,
Generation & Editing,Image Generation & Diffusion Models,"Data Circuit Breaker: Identifying Training, Test, and Generated Data in Image Generative Models",Bihe Zhao ⋅ Michel Meintz ⋅ Juangui Xu ⋅ Franziska Boenisch ⋅ Adam Dziedzic,,,,
Generation & Editing,Image Generation & Diffusion Models,Decoupling Complexity from Scale in Latent Diffusion Model,Tianxiong Zhong ⋅ Xingye Tian ⋅ Xuebo Wang ⋅ Boyuan Jiang ⋅ Xin Tao ⋅ Pengfei Wan,https://arxiv.org/abs/2511.16117,,,
Generation & Editing,Image Generation & Diffusion Models,Delving into Latent Spectral Biasing of Video VAEs for Superior Diffusability,Shizhan Liu ⋅ Xinran Deng ⋅ Zhuoyi Yang ⋅ Jiayan Teng ⋅ Xiaotao Gu ⋅ Jie Tang,https://arxiv.org/abs/2512.05394,https://github.com/zai-org/SSVAE,,
Generation & Editing,Image Generation & Diffusion Models,DiffPro: Joint Timestep and Layer-Wise Precision Optimization for Efficient Diffusion Inference,Farhana Amin ⋅ Sabiha Afroz ⋅ Kanchon Gharami ⋅ Mona Moghadampanah ⋅ Dimitrios Nikolopoulos,https://arxiv.org/abs/2511.11446,,,
Generation & Editing,Image Generation & Diffusion Models,DiffRGD: An Inference-Time Diffusion Guidance Through Riemannian Gradient Descent,Jia-Wei Liao ⋅ Li-Xuan Peng ⋅ Mei-Heng Yueh ⋅ Min Sun ⋅ Cheng-Fu Chou ⋅ Jun-Cheng Chen,https://arxiv.org/abs/2606.28417,,https://diffrgd.github.io/,
Generation & Editing,Image Generation & Diffusion Models,Diffusion Image Generation with Explicitly Modeling of Data Manifold Geometry,Duoduo Xue ⋅ Zhiyu Zhu ⋅ Junhui Hou,,,,
Generation & Editing,Image Generation & Diffusion Models,Diffusion Integrated Gradients: Controllable Path Generation for Flexible Feature Attribution,Soyeon Kim ⋅ Kyowoon Lee ⋅ Jaesik Choi,https://arxiv.org/abs/2606.22314,,,
Generation & Editing,Image Generation & Diffusion Models,Diffusion-SDPO: Safeguarded Direct Preference Optimization for Diffusion Models,Minghao Fu ⋅ Guo-Hua Wang ⋅ Tianyu Cui ⋅ Qing-Guo Chen ⋅ Zhao Xu ⋅ Weihua Luo ⋅ Kaifu Zhang,https://arxiv.org/abs/2511.03317,https://github.com/AIDC-AI/Diffusion-SDPO,,
Generation & Editing,Image Generation & Diffusion Models,DiffusionVL: Translating Any Autoregressive Models into Diffusion Vision Language Models,Lunbin Zeng ⋅ Jingfeng Yao ⋅ Bencheng Liao ⋅ Hongyuan Tao ⋅ Wenyu Liu ⋅ Xinggang Wang,https://arxiv.org/abs/2512.15713,https://github.com/hustvl/DiffusionVL,,
Generation & Editing,Image Generation & Diffusion Models,DiTailed: Ensuring Visual Object Consistency in Text-Image-to-Image Flow Matching Models,Francesco Taioli ⋅ Daniel Coelho ⋅ Iaroslav Melekhov ⋅ Roberto Alcover-Couso ⋅ Jose Saiz ⋅ Virginia Arguedas ⋅ Artur Bekasov,https://arxiv.org/abs/2607.12539,,https://francescotaioli.github.io/DiTailed/,
Generation & Editing,Image Generation & Diffusion Models,DiverseVAR: Balancing Diversity and Quality of Next-Scale Visual Autoregressive Models,Mingue Park ⋅ Prin Phunyaphibarn ⋅ Phillip (Yuseung) Lee ⋅ Minhyuk Sung,https://arxiv.org/abs/2511.21415,,,
Generation & Editing,Image Generation & Diffusion Models,Drift-AR: Single-Step Visual Autoregressive Generation via Anti-Symmetric Drifting,zhen zou ⋅ Xiaoxiao Ma ⋅ Mingde Yao ⋅ Jie Huang ⋅ Linjiang Huang ⋅ Feng Zhao,https://arxiv.org/abs/2603.28049,https://github.com/aSleepyTree/Drift-AR,,
Generation & Editing,Image Generation & Diffusion Models,DriftScope: Measuring The Hidden Effects of Diffusion Model Fine-Tuning,Héctor Laria ⋅ Yiping Han ⋅ Julian Santamaria ⋅ Kai WANG ⋅ Bogdan Raducanu ⋅ Joost Van de Weijer ⋅ Alex Gomez-Villa,,,,
Generation & Editing,Image Generation & Diffusion Models,DRPO: Disentangling Demographic Bias from Rewards for Fair Diffusion Alignment,YeonGyu Han ⋅ Junah Jung ⋅ Dongheon Lee,,,,
Generation & Editing,Image Generation & Diffusion Models,DSH-Bench: A Difficulty- and Scenario-Aware Benchmark with Hierarchical Subject Taxonomy for Subject-Driven Text-to-Image Generation,Zhenyu Hu ⋅ Qing Wang ⋅ Cao Te ⋅ Kuo Liao ⋅ Longfei Lu ⋅ Liqun Liu ⋅ Shuang Li ⋅ Hang Chen ⋅ Mengge Xue ⋅ Yuan Chen ⋅ Chao Deng ⋅ Peng Shu ⋅ Huan Yu ⋅ Jie Jiang,https://arxiv.org/abs/2603.08090,,,
Generation & Editing,Image Generation & Diffusion Models,Dual Masked Generative Adversarial Transformer for Unsupervised Domain Adaptation,Lei Zhu ⋅ Xinxing Xu ⋅ Jun Zhou ⋅ Qiegen Liu ⋅ Rick Siow Mong Goh ⋅ Yong Liu,,,,
Generation & Editing,Image Generation & Diffusion Models,Dual-End Consistency Model,linwei dong ⋅ Ruoyu Guo ⋅ Ge Bai ⋅ Zehuan Yuan ⋅ Yawei Luo ⋅ Changqing Zou,https://arxiv.org/abs/2602.10764,,,
Generation & Editing,Image Generation & Diffusion Models,DuoFlow: JVP-Free Finite-Difference Mean Flows for One-Step Image Generation,Zeming Li ⋅ Xiangyu Zhang ⋅ Ping Tan ⋅ Heung-Yeung Shum,,,,
Generation & Editing,Image Generation & Diffusion Models,Dynamic Image Prompt Adapter for Scalable Zero-shot Personalized Text-to-Image Generation,Zhizhong Wang ⋅ Tianyi Chu ⋅ Richard Wang ⋅ Nanyang Wang ⋅ Kehan Li,https://arxiv.org/abs/2512.09814,,,
Generation & Editing,Image Generation & Diffusion Models,DynEval: Holistic Evaluations of T2I Generative Models in the Wild,Shyam Marjit ⋅ Dheeraj Baiju ⋅ Anuj Shikarkhane ⋅ Akhil Sakthieswaran ⋅ Sayak Paul ⋅ Anirban Chakraborty,https://arxiv.org/abs/2607.11199,,https://vcl-iisc.github.io/dyneval/,
Generation & Editing,Image Generation & Diffusion Models,Early Estimation of Language to Latent Alignment in Diffusion Models,VASCO RAMOS ⋅ Regev Cohen ⋅ Idan Szpektor ⋅ Joao Magalhaes,https://arxiv.org/abs/2512.08505,,,
Generation & Editing,Image Generation & Diffusion Models,EFlow: Fast Few-Step Video Generator Training from Scratch via Efficient Solution Flow,Dogyun Park ⋅ Yanyu Li ⋅ Sergey Tulyakov ⋅ Anil Kag,https://arxiv.org/abs/2603.27086,,,
Generation & Editing,Image Generation & Diffusion Models,ELDiff: When Evidential Learning Meets Text-to-Image Diffusion,Qingtao Pan ⋅ Kai Ye ⋅ Zhihao Dou ⋅ Bing Ji ⋅ Shuo Li,https://arxiv.org/abs/2606.20924,https://github.com/QingtaoPan/ELDiff,,
Generation & Editing,Image Generation & Diffusion Models,ELT: Elastic Looped Transformers for Visual Generation,Sahil Goyal ⋅ Swayam Agrawal ⋅ Gautham Anil ⋅ Sujoy Paul ⋅ Aditya Kusupati ⋅ Prateek Jain,https://arxiv.org/abs/2604.09168,,,
Generation & Editing,Image Generation & Diffusion Models,EMAG: Self-Rectifying Diffusion Sampling with Exponential Moving Average Guidance,ANKIT YADAV ⋅ Huy Ta ⋅ Lingqiao Liu,https://arxiv.org/abs/2512.17303,,,
Generation & Editing,Image Generation & Diffusion Models,Entropy-Controlled Flow Matching,Chika Maduabuchi,https://arxiv.org/abs/2602.22265,,,
Generation & Editing,Image Generation & Diffusion Models,EruDiff: Refactoring Knowledge in Diffusion Models for Advanced Text-to-Image Synthesis,Xiefan Guo ⋅ Xinzhu Ma ⋅ Haoxiang Ma ⋅ Zihao Zhou ⋅ Di Huang,https://arxiv.org/abs/2603.20828,https://github.com/xiefan-guo/erudiff,,
Generation & Editing,Image Generation & Diffusion Models,EvoTok: A Unified Image Tokenizer via Residual Latent Evolution for Visual Understanding and Generation,Yan Li ⋅ Ning Liao ⋅ Xiangyu Zhao ⋅ Shaofeng Zhang ⋅ Xiaoxing Wang ⋅ Yifan Yang ⋅ Junchi Yan ⋅ Xue Yang,,,,
Generation & Editing,Image Generation & Diffusion Models,FairSteer: Cross-Attention Steering Towards a Fairer Text-Guided Image Generation,Tatiana Gaintseva ⋅ Akshit Achara ⋅ Greg Slabaugh ⋅ Jiankang Deng ⋅ Ismail Elezi,,,,
Generation & Editing,Image Generation & Diffusion Models,Finite Difference Flow Optimization for RL Post-Training of Text-to-Image Models,David McAllister ⋅ Miika Aittala ⋅ Tero Karras ⋅ Janne Hellsten ⋅ Angjoo Kanazawa ⋅ Timo Aila ⋅ Samuli Laine,https://arxiv.org/abs/2603.12893,https://github.com/NVlabs/finite-difference-flow-optimization,,
Generation & Editing,Image Generation & Diffusion Models,Flash-BoN: Instant Drafts for Inference-Time Scaling in Diffusion Models,Ruchit Rawal ⋅ Reza Shirkavand ⋅ Sayak Paul ⋅ Yuxin Wen ⋅ Heng Huang ⋅ Yizheng Chen ⋅ Tom Goldstein ⋅ Gowthami Somepalli,https://arxiv.org/abs/2607.04461,,,
Generation & Editing,Image Generation & Diffusion Models,"FlowInOne: Unifying Multimodal Generation as Image-in, Image-out Flow Matching",Junchao Yi ⋅ Rui Zhao ⋅ Jiahao Tang ⋅ Weixian Lei ⋅ Linjie Li ⋅ Qisheng Su ⋅ Zhengyuan Yang ⋅ Lijuan Wang ⋅ Xiaofeng Zhu ⋅ Alex Jinpeng Wang,,,,
Generation & Editing,Image Generation & Diffusion Models,FlowLess: Controlling Abstract Image Generation,Amir Hertz ⋅ Noah Snavely,,,,
Generation & Editing,Image Generation & Diffusion Models,From Open Loop to Closed Loop: A Test-Time Iterative Optimization Framework for Reference-Consistent Image Generation,Baixuan Zhao ⋅ Xinyu Zhang ⋅ 华渝 郑 ⋅ Shuaicheng Liu ⋅ Xiongkuo Min ⋅ Guangtao Zhai ⋅ Xiaohong Liu,https://arxiv.org/abs/2607.04691,https://github.com/zzdrill/From-Open-Loop-to-Closed-Loop,,
Generation & Editing,Image Generation & Diffusion Models,From smooth to sharp: Frequency-Decoupled Latent Optimization for Realistic Image Generation,Tejaswini Medi ⋅ Hsien-Yi Wang ⋅ Arianna Rampini ⋅ Margret Keuper,,,,
Generation & Editing,Image Generation & Diffusion Models,From Sparse to Dense: Multi-View GRPO for Flow Models via Augmented Condition Space,Jiazi Bu ⋅ Pengyang Ling ⋅ Yujie Zhou ⋅ Yibin Wang ⋅ Yuhang Zang ⋅ Tianyi Wei ⋅ Xiaohang Zhan ⋅ Jiaqi Wang ⋅ Tong Wu ⋅ Xingang Pan ⋅ Dahua Lin,https://arxiv.org/abs/2603.12648,,,
Generation & Editing,Image Generation & Diffusion Models,G3AFT: Glance Guided Gradient Aligned Fine-Tuning for Visual Autoregressive Models,Jiayi Zhang ⋅ Xiefan Guo ⋅ Xinzhu Ma ⋅ Di Huang,,,,
Generation & Editing,Image Generation & Diffusion Models,Generalization and Memorization in Rectified Flow,Mingxing Rao ⋅ Daniel Moyer,https://arxiv.org/abs/2603.13421,,,
Generation & Editing,Image Generation & Diffusion Models,Generative Refinement Network for Visual Synthesis,Jian Han ⋅ Jinlai Liu ⋅ Jiahuan Wang ⋅ BINGYUE PENG ⋅ Zehuan Yuan,https://arxiv.org/abs/2604.13030,https://github.com/bytedance/GRN,,
Generation & Editing,Image Generation & Diffusion Models,GenSP: Consistent Spherical Parameterization via Learning Shape Generative Models,Sai Karthikey Pentapati ⋅ Shashank Gupta ⋅ Rajesh Sureddi ⋅ Yuezhi Yang ⋅ Alan Bovik ⋅ Qixing Huang,https://arxiv.org/abs/2607.00492,,,
Generation & Editing,Image Generation & Diffusion Models,GeoCFM: Positive-Only Conditional Flow Matching for Mineral Occurrence Sampling,Moshe Eliasof ⋅ Eldad Haber,,,,
Generation & Editing,Image Generation & Diffusion Models,Glance: Accelerating Diffusion Models with 1 Sample,Zhuobai Dong ⋅ Rui Zhao ⋅ songjie wu ⋅ Suyang Hou ⋅ Junchao Yi ⋅ Zhengyuan Yang ⋅ Lijuan Wang ⋅ Alex Jinpeng Wang,https://arxiv.org/abs/2512.02899,,,
Generation & Editing,Image Generation & Diffusion Models,GR-GRPO: Graph-Diffused Credit for Autoregressive Image RL Alignment,Zheyu Zhang ⋅ Peng-Tao Jiang ⋅ Tianyi Zheng ⋅ Jian Zhang ⋅ Jinwei Chen ⋅ Bo Li,,,,
Generation & Editing,Image Generation & Diffusion Models,"GRAN-TED: Generating Robust, Aligned, and Nuanced Text Embedding for Diffusion Models",Bozhou Li ⋅ Sihan Yang ⋅ Yushuo Guan ⋅ Ruichuan An ⋅ Xinlong Chen ⋅ Yang Shi ⋅ Pengfei Wan ⋅ Wentao Zhang ⋅ Yuanxing Zhang,https://arxiv.org/abs/2512.15560,,https://anonymous.4open.science/r/GRAN-TED-4FCC/,
Generation & Editing,Image Generation & Diffusion Models,GRE-Diff: Gaussian Room Embeddings for Structured Layout Diffusion,Jing Wang ⋅ Haoran Xiong ⋅ Zihao Yan ⋅ Minglun Gong ⋅ Hui Huang,https://arxiv.org/abs/2607.08086,,,
Generation & Editing,Image Generation & Diffusion Models,Hi-DiT: Hybrid Latent-Pixel Diffusion Transformer for Image Generation,Yedong Shen ⋅ Yehao Li ⋅ Yingwei Pan ⋅ Yanyong Zhang ⋅ Ting Yao,,,,
Generation & Editing,Image Generation & Diffusion Models,Histogram-constrained Image Generation,Haoming Liu ⋅ Yuanhe Guo ⋅ Yijia Cao ⋅ Shenji Wan ⋅ Hongyi Wen,https://arxiv.org/abs/2606.31683,,https://maps-research.github.io/hig/,
Generation & Editing,Image Generation & Diffusion Models,HO-Flow: Generalizable Hand-Object Interaction Generation with Latent Flow Matching,Zerui Chen ⋅ Rolandos Alexandros Potamias ⋅ Shizhe Chen ⋅ Jiankang Deng ⋅ Cordelia Schmid ⋅ Stefanos Zafeiriou,https://arxiv.org/abs/2604.10836,,https://zerchen.github.io/projects/hoflow.html,
Generation & Editing,Image Generation & Diffusion Models,HRDiT: Training-Free High-Resolution Image Generation with Off-the-Shelf Diffusion Transformer Models,Yu Xue ⋅ Haoxuan Qu ⋅ ZHUOLING Li ⋅ Hongbin Xu ⋅ Jianxiong Yin ⋅ Simon See ⋅ Hossein Rahmani ⋅ Jun Liu,https://arxiv.org/abs/2608.07003,https://github.com/zylwithxy/HRDiT,,
Generation & Editing,Image Generation & Diffusion Models,Importance-Aware Low-Rank Distillation of Diffusion Transformers,Denis Zavadski ⋅ Sebastian Heid ⋅ Damjan Kalšan ⋅ Stefan Roth ⋅ Carsten Rother,,,,
Generation & Editing,Image Generation & Diffusion Models,Improved Immiscible Diffusion: Accelerating Diffusion Training by Reducing Miscibility,Yiheng Li ⋅ Feng Liang ⋅ Dan Kondratyuk ⋅ Masayoshi TOMIZUKA ⋅ Kurt Keutzer ⋅ Chenfeng Xu,https://arxiv.org/abs/2505.18521,https://github.com/yhli123/Immiscible-Diffusion,,
Generation & Editing,Image Generation & Diffusion Models,InstanceControl: Controllable Complex Image Generation without Instance Labeling,XIAOYU LIU ⋅ Huan Wang ⋅ FAN LI ⋅ Zhixing Wang ⋅ Jiaqi Xu ⋅ Ming LIU ⋅ Wangmeng Zuo,,,,
Generation & Editing,Image Generation & Diffusion Models,InstantRetouch: Personalized Image Retouching without Test-time Fine-tuning,Temesgen Muruts Weldengus ⋅ Binnan Liu ⋅ Fei Kou ⋅ Youwei Lyu ⋅ Jinwei Chen ⋅ Changqing Zou ⋅ Qingnan Fan,,,,
Generation & Editing,Image Generation & Diffusion Models,InterCMDM: Block-Causal Diffusion for Autoregressive Human Interaction Generation,Qing Yu ⋅ Kent Fujiwara,https://arxiv.org/abs/2607.01743,,https://yu1ut.com/InterCMDM-HP/,
Generation & Editing,Image Generation & Diffusion Models,Intermediate Text Representation Guided Text-to-Image Generation for Enhancing One-and-Only Alignment,Soyoun Won ⋅ Aryan Yazdan Parast ⋅ Basim Azam ⋅ Jean Honorio ⋅ NAVEED AKHTAR,https://arxiv.org/abs/2606.30262,,https://soyoun-won.github.io/one-and-only-ir-guidance/,
Generation & Editing,Image Generation & Diffusion Models,Introspective Attention Modulation for Safe Text-to-Image Generation,Basim Azam ⋅ Hossein Rahmani ⋅ NAVEED AKHTAR,https://arxiv.org/abs/2607.14945,,https://basim-azam.github.io/iam/,
Generation & Editing,Image Generation & Diffusion Models,ISAC: Training-Free Instance-to-Semantic Attention Control for Multi-Instance Generation,Sanghyun Jo ⋅ Wooyeol Lee ⋅ Ziseok Lee ⋅ Jonghyun Choi ⋅ Jaesik Park ⋅ Kyungsu Kim,,,,
Generation & Editing,Image Generation & Diffusion Models,JSON: Jigsaw Self-play Optimization for Normalizing Flows,Fengxiang Yang ⋅ Tianyi Zheng ⋅ Jinwei Chen ⋅ Bo Li,,,,
Generation & Editing,Image Generation & Diffusion Models,Jumping the Landing Phase: Noise Variance Matching Enables Accurate Few-Step Inversion,Yang Luo ⋅ Zhineng Chen ⋅ Ya Gao ⋅ Xieping Gao ⋅ Yu-Gang Jiang,,,,
Generation & Editing,Image Generation & Diffusion Models,Keep-or-Drop? Adaptive Tokenizer for Compact Video Representation,Yeonkyeong Lee ⋅ Hyunsung Go ⋅ Jongmin Kim ⋅ Lim Sewoong ⋅ Donghoon Lee,,,,
Generation & Editing,Image Generation & Diffusion Models,LACON: Training Text-to-Image Model from Uncurated Data,Zhiyang Liang ⋅ Ziyu Wan ⋅ Hongyu Liu ⋅ DONG CHEN ⋅ Qiu Shen ⋅ Hao Zhu ⋅ Dongdong Chen,https://arxiv.org/abs/2603.26866,,,
Generation & Editing,Image Generation & Diffusion Models,Latent Visual Diffusion Reasoning with Monte Carlo Tree Search,Xirui Teng ⋅ Nan Xi ⋅ Junsong Yuan,https://arxiv.org/abs/2606.27988,https://github.com/XiruiTeng/LVDR_Official.git,,
